"会社名","住所","電話番号","WebサイトURL","Google評価","レビュー数","都道府県","place_id","メールアドレス","メール取得元URL"
"アクセア 札幌アスティ45店","〒060-0004 北海道札幌市中央区北４条西５丁目１ アスティ45 B1F","011-206-6971","https://www.accea.co.jp/map/sapporo45.html","4.2","11","北海道","ChIJBe-W3J8pC18RAxy_vQynScc","",""
"札幌特急名刺印刷.com/北海道広告社","〒060-0005 北海道札幌市中央区北５条西９丁目11−番地 シャトーブラン59 2階","090-8213-9543","http://speed.me-shi.com/lp/","3.9","8","北海道","ChIJT4mP9o8pC18RL3HnP36fiYg","print@h-ad.com","http://speed.me-shi.com/lp/"
"プリントハウス 時計台ビル店","〒060-0001 北海道札幌市中央区中央区北１条西２丁目 北１条西２丁目1番地 札幌時計台ビルB1F","011-231-0900","http://www.sapporo-print.com/","4.2","22","北海道","ChIJaRFwf3YpC18RKBx6nvsE37c","",""
"アクセア 札幌北3条店","〒060-0003 北海道札幌市中央区北３条西２丁目８ さっけんビル １Ｆ","011-218-0881","https://www.accea.co.jp/map/sapporokita3jo.html","3.1","7","北海道","ChIJ53p1xKUpC18RaNGztPv-lIY","",""
"キンコーズ 札幌時計台前店","〒060-0001 北海道札幌市中央区北１条西３丁目3−４１ マルイト時計台前ビル １階","011-590-4555","https://e-creous.com/kinkos/shop_information/sapporo?utm_source=gbp&utm_medium=gbp_profile&utm_campaign=profile_link","4.6","12","北海道","ChIJnfnEv7MpC18RKZ6DAIFMk60","",""
"アクセア 札幌大通西6丁目店","〒060-0042 北海道札幌市中央区大通西６丁目6−１ 北海道医師会館 1階","011-206-8981","https://www.accea.co.jp/map/sapporoodorinishi6.html","5","2","北海道","ChIJO0l1i2spC18RQ9h-Fp11SA4","",""
"プリントワークス","〒064-0807 北海道札幌市中央区南７条西７丁目３−１ 第８８松井ビル 1階","011-215-0156","https://www.printworks.shop/","4.6","9","北海道","ChIJG5fExYgpC18Rrlouky_TY7I","info@printworks.shop","https://www.printworks.shop/contact"
"㈱トクイ印房","〒060-0004 北海道札幌市中央区北４条西１９丁目１−４５ トクイビル","011-621-9012","https://co-labo.net/","4.5","19","北海道","ChIJ7VzeCLwpC18Rse4Eiu05vxA","",""
"村本印房 大通店","〒060-0061 北海道札幌市中央区南１条西５丁目５ １1F通路の奧","011-251-5533","http://www.muramoto-web.co.jp/","4","21","北海道","ChIJZ2eWrIQpC18RA8C44qi25ME","",""
"㈱PRINT HOUSE 札幌支店","〒063-0812 北海道札幌市中央区大通西８丁目２−３８ ストーク大通ビル 5F","011-219-2027","https://print-house.jp/","5","2","北海道","ChIJdRaf0pspC18RpCE6-gLfl84","",""
"日章堂印房活版印刷","〒063-0804 北海道札幌市西区二十四軒４条４丁目９−６","011-699-6614","https://maps.google.com/?cid=3292807666533541373&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","4.7","10","北海道","ChIJS_XDZ0woC18R_SVqbSBnsi0","",""
